,similar word,similarity score
sidewalk,walkway,0.8371223211288452
sidewalk,bikes,0.8347113728523254
sidewalk,bikers,0.8285409212112427
sidewalk,sunbathing,0.8282527327537537
sidewalk,joggers,0.8277483582496643
sidewalk,yards,0.8275187015533447
sidewalk,driveways,0.8264358043670654
sidewalk,jogging,0.81805419921875
sidewalk,bushes,0.8176870346069336
sidewalk,walking,0.8174379467964172
dining,outdoor,0.8726555109024048
dining,seating,0.8317368626594543
dining,tubing,0.830917239189148
dining,patios,0.82497239112854
dining,browse,0.8233394026756287
dining,nightclubs,0.8113670349121094
dining,dinein,0.8077453374862671
dining,barricaded,0.796230673789978
dining,closecontact,0.7962247133255005
dining,rearranged,0.795827329158783
closed,closing,0.8642398118972778
closed,closes,0.8575947284698486
closed,campgrounds,0.811890184879303
closed,nonessential,0.8095844984054565
closed,nightclubs,0.8091951012611389
closed,cellars,0.8090433478355408
closed,fabbioli,0.8087210059165955
closed,temporarily,0.808606743812561
closed,shut,0.8070530295372009
closed,eastbound,0.8070296049118042
curb,eyeing,0.778092086315155
curb,curtail,0.7555920481681824
curb,mustaches,0.75090491771698
curb,curbed,0.7506430745124817
curb,afterward,0.7500021457672119
curb,#covid19take,0.7485594153404236
curb,restraining,0.7471563816070557
curb,#digitalbillboard,0.7460465431213379
curb,cease,0.7445477247238159
curb,order,0.7418966293334961
curbside,pickup,0.9426632523536682
curbside,togo,0.848448634147644
curbside,contactless,0.8455219864845276
curbside,ubereats,0.8454121351242065
curbside,delivery,0.841803789138794
curbside,instore,0.8385165333747864
curbside,dinein,0.8377887010574341
curbside,#curbside,0.8366310596466064
curbside,menu,0.8358977437019348
curbside,takeout,0.835506021976471
restaurant,restaurants,0.8735021352767944
restaurant,bartenders,0.8210086822509766
restaurant,resturant,0.8006266951560974
restaurant,pizzeria,0.7996156811714172
restaurant,ossington,0.7995530366897583
restaurant,restaurant/bar,0.7964047789573669
restaurant,liquor,0.7956592440605164
restaurant,takeout,0.7955833077430725
restaurant,browse,0.7949797511100769
restaurant,bar,0.7946301698684692
